tensor(3, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(2, dtype=torch.int32)
tensor(1, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(3, dtype=torch.int32)
tensor(4, dtype=torch.int32)
tensor(0, dtype=torch.int32)
tensor(2, dtype=torch.int32)
